Last Name,First Name,Rank,adloc,Location,Link to Google Scholar Profile,Citations (All),h-index (All),i10-index (All),Citations (Since 2021),h-index (Since 2021),i10-index (Since 2021),Last Updated
Rathore,Keerti,Professor,Research,College Station,https://scholar.google.com/citations?user=nksKEqIAAAAJ&hl=en&oi=ao,5210,37,56,1587,22,39,2026-09-24 20:42:19
Ravelombola,Waltram,Assistant Professor,Research,Vernon,https://scholar.google.com/citations?user=XTBMj9wAAAAJ,1377,23,35,1223,23,35,2026-09-24 20:42:23
Redmon,Larry,Professor,Extension,College Station,https://scholar.google.com/citations?user=1FdmxoYAAAAJ&hl=en&oi=ao,1166,15,23,304,9,9,2026-09-24 20:42:30
Rooney,William,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=h7Mm9WoAAAAJ&hl=en&oi=ao,18702,70,218,7489,48,164,2026-09-24 20:42:36
Rouquette,Monte,Professor,Research,Overton,https://scholar.google.com/citations?user=fOmO29kAAAAJ&hl=en&oi=sra,3543,31,81,1316,19,28,2026-09-24 20:42:39
Rudd,Jackie,Professor,Research,Canyon,https://scholar.google.com/citations?user=J1my6MsAAAAJ&hl=en&oi=ao,4477,38,82,2257,28,60,2026-09-24 20:42:43
Rustom,Sam,Assistant Professor,Extension,Eagle Lake,https://scholar.google.com/citations?hl=en&user=rjShXrsAAAAJ,327,10,11,172,8,4,2026-09-24 20:42:51
Samonte,Stanley Omar,Associate Professor,Research,Beaumont,https://scholar.google.com/citations?hl=en&user=A1yD-EkAAAAJ,1702,13,14,558,11,11,2026-09-24 20:42:55
Schnell,Ronnie,Professor,Extension,College Station,https://scholar.google.com/citations?user=qRQ8LQUAAAAJ&hl=en&oi=ao,792,13,15,519,11,12,2026-09-24 20:43:00
Septiningsih,Endang,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=-2N74-UAAAAJ&hl=en&oi=ao,8597,44,81,4228,38,76,2026-09-24 20:43:04
Singh,Ravinder,Assistant Professor,Research,Vernon,https://scholar.google.com/citations?user=HK7RlcQAAAAJ&hl=en,342,8,8,332,8,8,2026-09-24 20:43:11
Smith,Wayne,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?hl=en&user=dyfZLOgAAAAJ,6266,40,99,1446,20,36,2026-09-24 20:43:18
Smith,Gerald,Professor,Research,Overton,https://scholar.google.com/citations?user=tWSSx0oAAAAJ&hl=en,1627,20,49,365,10,13,2026-09-24 20:43:25
Smith,A. Peyton,Associate Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=Wo4uf8cAAAAJ&hl=en&oi=ao,1738,17,24,1369,16,20,2026-09-24 20:43:31
Somenahally,Anil,Associate Professor,Research,Overton,https://scholar.google.com/citations?user=ZflPbbQAAAAJ&hl=en&oi=ao,2759,19,33,1632,17,32,2026-09-24 20:43:37
Stelly,David,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=z6fIJ9kAAAAJ&hl=en&oi=ao,16452,60,158,4577,27,64,2026-09-24 20:43:41
Subramanian,Nithya,Assistant Professor,Research,College Station,https://scholar.google.com/citations?hl=en&user=IF9Yq5YAAAAJ,1216,17,20,758,14,17,2026-09-24 20:43:46
Szerlag,Kate,Assistant Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=_UOiIFMAAAAJ&hl=en,93,3,3,81,3,3,2026-09-24 20:43:49
Talukder,Shyamal,Assistant Professor,Research,Beaumont,https://scholar.google.com/citations?hl=en&user=Px5cT9IAAAAJ&view_op=list_works&sortby=pubdate,1001,16,21,691,12,15,2026-09-24 20:43:55
Tarpley,Lee,Professor,Research,Beaumont,https://scholar.google.com/citations?user=9FV1v6gAAAAJ&hl=en&oi=ao,4157,28,45,1432,21,25,2026-09-24 20:44:03
Thomson,Michael,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=ZoZohG4AAAAJ&hl=en&oi=ao,9360,41,65,3666,33,57,2026-09-24 20:44:09
Trostle,Calvin,Professor,Extension,Lubbock,https://scholar.google.com/citations?user=BHKT7cgAAAAJ&hl=en&oi=ao,1108,19,31,766,15,19,2026-09-24 20:44:15
